NOMBRE DE PROVEEDOR,ESPECIALIDAD,SUBESPECIALIDAD,PUEBLO,TELEFONO,DIRECCIÌÒN FÌçSICA,Contry,Location
Luis GonzÌÁlez Ingles ,Internista,,BayamÌ_n,787-288-2255,"Edif. Medico Hermanos MelÌ©ndez 
Villa Rica J-16 C/2 Suite 108
BayamÌ_n, PR 00959",Puerto Rico,"Bayam&oacute;n, Puerto Rico
"
Hiram Ortega Nieves ,Pediatra,Acupuntor,Aguada,787-868-5455,"93 Calle ColÌ_n
Aguada, PR 00602",Puerto Rico,"Aguada, Puerto Rico
(18.38036997800043, -67.18917997599965)"
"Caribe Medical Supply, Inc.",Ambulancia,,San Juan,787-783-0840,"1351 C/Antonio Arroyo 
Esq Paz Granela 
San Juan,. PR 00921",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Omar J. HernÌÁndez Aviles DBA Tropical Ambulance ,Ambulancia,,Moca,787-877-6218,"Carr 125 5M 6.8 Bo. Cuba
Quebrada Grande 
Moca, PR 00676",Puerto Rico,"Moca, Puerto Rico
(18.394929981000473, -67.11367998199967)"
Emmanuel Medina DBA Shaddai Medical Transport,Ambulancia,,Guayama,787-866-4436,"29-A Barriada Marin C/5
Guayama, PR 00899",Puerto Rico,"Guayama, Puerto Rico
(17.985200020000434, -66.11315001099962)"
Arturo CarriÌ_n De JesÌ_s,MÌ©dico de Familia,Acupuntor,Caguas,787-744-9205,"Calle 5 B-11
Villas de Castro 
Caguas, PR 00725",Puerto Rico,"Caguas, Puerto Rico
(18.226539990000447, -66.03746001999963)"
Centro QuiroprÌÁctico Dra. MuÌ±iz Medina CPS,QuiroprÌÁctico,,Isabela,787-830-8855,"Ave. Agustin Ramos Calero 
Edif Policlinica Dr. Mora 
Isabela, PR 00662",Puerto Rico,"Isabela, Puerto Rico
(18.501219988000457, -67.02111999699963)"
"Borinquen Route Ambulance Transport, Inc. ",Ambulancia,,AÌ±asco,787-344-7344,"Carr 109 Km2.2  
Pozo Hondo 
AÌ±asco, PR 00610",Puerto Rico,"A&ntilde;asco, Puerto Rico
"
Lourdes M. GarcÌ_a JimÌ©nez ,Salud en el Hogar,Terapia FÌ_sica,Quebradillas,787-612-2434,"Cubre Pueblos de Quebradillas
Camuy, Isabela Y Hatillos ",Puerto Rico,"Quebradillas, Puerto Rico
(18.47400998900042, -66.93762999699965)"
Luis RodrÌ_guez HernÌÁndez ,Internista,,Ponce,787-844-7975,"El SeÌ±orial Plaza 
1326 Calle Salud Suite 103
Ponce, PR 00728",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
RadamÌ©s MarÌ_n RomÌÁn,Generalista,,Yauco,787-856-0844,"Calle Comerio 6
Yauco, PR 00698",Puerto Rico,"Yauco, Puerto Rico
(18.033410023000442, -66.84844998399961)"
ClÌ_nica de Terapia FÌ_sica de Humacao,Terapia ,FÌ_sica,Humacao,787-850-1750,"Ave. Padre Rivera 105
Humacao, PR 00791",Puerto Rico,"Humacao, Puerto Rico
(18.151470017000463, -65.82337000899963)"
Marvi RodrÌ_guez DBA Laboratorio ClÌ_nico Jayuya ,Laboratorio ,ClÌ_nico,Jayuya,787-828-6025,"Calle Figueras 5
Jayura, PR 00664",Puerto Rico,"Jayuya, Puerto Rico
(18.219400005000466, -66.59091998899964)"
Carlos BenÌ_tez RÌ_os,Generalista,,Utuado,787-894-4829,"Urb. Cabrera A-2
Utuado PR  00641",Puerto Rico,"Utuado, Puerto Rico
(18.266249998000433, -66.70459997699965)"
Miguel A. Serrano Alvarez ,QuiroprÌÁctico,,Carolina,787-762-5991,"Ave. Iturregui OA-3
Country Club
Carolina PR  00982",Puerto Rico,"Carolina, Puerto Rico
(18.442839984000443, -66.02399001499964)"
Manuel RamÌ_rez Soto ,Cirujano ,General,San GermÌÁn,787-892-3318,"Julio NÌ_Ì±ez #8
Sabana Grande PR  00637",Puerto Rico,"San Germ&aacute;n, Puerto Rico
"
Rafael Marrero Berrios,MÌ©dico de Familia,,Aibonito,787-735-1075,"Calle Pedro Rosario #20
Aibonito Plaza Suite C
Aibonito PR  00705",Puerto Rico,"Aibonito, Puerto Rico
(18.139880006000453, -66.26568001399966)"
Gobierno Municipal de las Piedras HNC Mun. Med Las Piedras ,Ambulancia,,Las Piedras,787-733-4475,"Carr. 198 KM. 22.1
Las Piedras PR  00771",Puerto Rico,"Las Piedras, Puerto Rico
(18.18253001800042, -65.86530001999967)"
Elixmahir DÌÁvila Marrero , PsicÌ_logo, NeuropsicÌ_logo,BayamÌ_n,787-354-6300,"Urb. Santa Cruz
Calle 2 E-11
BayamÌ_n PR  00961",Puerto Rico,"Bayam&oacute;n, Puerto Rico
"
Basilio Lugo GonzÌÁlez ,AnestesiÌ_logo,,Aguadilla,787-882-3075,"Ave. Kennedy #3
Aguadilla PR  00605",Puerto Rico,"Aguadilla, Puerto Rico
(18.434599981000474, -67.15518999199963)"
Rosendo MartÌ_nez PÌ©rez ,Cirujano PlÌÁstico ,,Ponce,787-840-9450,"Edif. Parra Suite 401
Ponce By Pass
Ponce PR  00717",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Axel Arroyo RodrÌ_guez ,PatologÌ_a,AnatÌ_mica y ClÌ_nica,Ponce,787-840-8686,"Hospital Damas
2213 Ponce By Pass
Ponce PR  00713",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
IvÌÁn N. SuÌÁrez Irizarry,AnestesiÌ_logo,,Moca,787-818-6010,"Hospital San Carlos Borromeo
Calle ConcepciÌ_n Vega #550
Moca PR 00676 ",Puerto Rico,"Moca, Puerto Rico
(18.394929981000473, -67.11367998199967)"
Roberto E. MaÌ_z Acevedo ,Cirujano ,General,San German,787-892-3318,"Hospital Metropolitano
Yauco PR  00698",Puerto Rico,"San German, Puerto Rico
(18.08132000100045, -67.04160998799966)"
Fritz E. RodrÌ_guez Sallaberry ,AnestesiÌ_logo,,Aguadilla,787-882-0100,"Aguadilla Medical Service
Carr #2 KM 129.5
Aguadilla PR  00603",Puerto Rico,"Aguadilla, Puerto Rico
(18.434599981000474, -67.15518999199963)"
JesÌ_s F. Martino Trilla ,EmergenciÌ_logo,,Moca,787-892-5300,"ConcepciÌ_n Vera #550
Carretera #10
Moca PR  00676",Puerto Rico,"Moca, Puerto Rico
(18.394929981000473, -67.11367998199967)"
Juanita LÌ_pez HNC Centro de Terapia FÌ_sica RamelÌ©n,Terapia,FÌ_sica,Aguas Buenas,787-732-6787,"Carr. 156 KM 49.5
Bo. Sumidero
Aguas Buenas PR  00703",Puerto Rico,"Aguas Buenas, Puerto Rico
(18.25705999000047, -66.10599000899964)"
Pereira Medical System,Ambulancia,,Juncos,787-747-5389,"Urb. Bairoa Calle Guarionex
BS-2 Apto. 3
Caguas PR  00725",Puerto Rico,"Juncos, Puerto Rico
(18.22783997600044, -65.92472001699963)"
EfraÌ_n Vargas Rivera ,Generalista ,,Corozal,787-859-7085,"Calle Urbano RamÌ_rez #9
Corozal PR  00783",Puerto Rico,"Corozal, Puerto Rico
(18.340609991000463, -66.31697998399966)"
Professional Hearing & Balance Center PSC,Terapia ,AudiologÌ_a,San Juan,787-759-7744,"Ave. Winston Churchill #200
Suite 301
San Juan PR  00926",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
MMA Transmedic Ambulance Services Corp.,Ambulancia,,Trujillo Alto,787-769-9614,"Bo. Saint Just
Carr. #848 Km 0.5
Trujillo Alto PR  00976",Puerto Rico,"Trujillo Alto, Puerto Rico
(18.35556997800046, -66.00495002199966)"
Fast Cruz Ambulance Corp.,Ambulancia,,Toa Baja,787-672-8275,"G-28 Boulevard
Levitown 
Toa Baja PR  00952",Puerto Rico,"Toa Baja, Puerto Rico
(18.442469988000425, -66.25353000999962)"
Sunny Ambulance Inc. ,Ambulancia,,Dorado,787-667-7753,"Carr. #694 Km 3.4
Barrio Maguayo
Dorado PR  00646",Puerto Rico,"Dorado, Puerto Rico
(18.459459982000453, -66.26256000899963)"
Wilfredo Collazo FernÌÁndez ,Ambulancia,,Salinas,787-692-4659,"Barrio La Pena #111 Calle 1
Salinas PR  00751",Puerto Rico,"Salinas, Puerto Rico
(17.98250001700046, -66.29473999499965)"
Carlos I. CarriÌ_n Lorenzo ,Ortopeda ,,ManatÌ_,787-621-2121,"Calle Sargento HernÌÁndez
E-25 Urb. Atenas
ManatÌ_ PR  00674",Puerto Rico,"Manat&iacute;, Puerto Rico
"
Gaf Radiology PSC,RadiÌ_logo,InterpretaciÌ_n,MayagÌ_ez,787-652-6011,"Bo. Cerro Las Mesas
Carr. #349, Hosp. Bella Vista
MayagÌ_ez PR  00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Caribe Pathology DBA Caribe Path CSP,PatologÌ_a,,MayagÌ_ez,787-834-1021,"Carr. #349 Cerro Las Mesas
Hosp. Bella Vista (Adentro)
MayagÌ_ez PR  00681",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
"Multidisciplinary Psychological Services, Inc. ",PsicÌ_logo,,Dorado,787-675-0663,"Urb. Martorell 
Calle Luis MuÌ±oz Rivera B-3
Dorado PR  00646",Puerto Rico,"Dorado, Puerto Rico
(18.459459982000453, -66.26256000899963)"
Alfredo PiÌ±ero Pereira ,Ortopeda ,,Carolina,787-757-1167,"Ave. Fragoso
Frente a Plaza Carolina
Carolina PR  00985",Puerto Rico,"Carolina, Puerto Rico
(18.442839984000443, -66.02399001499964)"
Emma L. Carreras QuiÌ±ones ,Fisiatra,,Ponce,787-843-5420,"Condomino San Vicente
Suite 211 Calle Concordia
Ponce PR  00717",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Wilkins Feliciano DBA Terapia FÌ_sica La Monserrate,Terapia ,FÌ_sica,Sabana Grande,787-873-5999,"Ctro de Ter. Fis. La Monserrate
Ave. 5 de diciembre #100
Sabana Grande  00637",Puerto Rico,"Sabana Grande, Puerto Rico
(18.078060005000452, -66.96184998799964)"
Yara Humaran DBA ClÌ_nica Terapia FÌ_sica y AcuÌÁtica ,Terapia ,FÌ_sica y AcuÌÁtica,ManatÌ_,787-608-6001,"Bo. Cotto Norte
Sector Cantera
ManatÌ_ PR  00674",Puerto Rico,"Manat&iacute;, Puerto Rico
"
"Centro PsicoterapÌ©utico Multidisciplinario, Inc.",PsicÌ_logo,,Caguas,787-745-0242,"Urb. El Verde 
#19 Calle Lucero
Caguas PR  00725",Puerto Rico,"Caguas, Puerto Rico
(18.226539990000447, -66.03746001999963)"
"Centro PsicoterapÌ©utico Multidisciplinario, Inc.",Terapia,Habla y Ocupacional,Caguas,787-745-0242,"Urb. El Verde 
#19 Calle Lucero
Caguas PR  00725",Puerto Rico,"Caguas, Puerto Rico
(18.226539990000447, -66.03746001999963)"
Imaging Radiology Advocate PSC,RadiÌ_logo,InterpretaciÌ_n,Aguadilla,787-469-8981,"Hosp. Buen Samaritano
Ave. Severiano Cuevas Aguadilla, PR 00607",Puerto Rico,"Aguadilla, Puerto Rico
(18.434599981000474, -67.15518999199963)"
"Carrillo Ambulance, Corp.",Ambulancia,,Lares,787-897-1444,"Ave. Los Patriotas 
Bo. Pueblo 
Lares, PR 00669",Puerto Rico,"Lares, Puerto Rico
(18.29824998400045, -66.87340999299965)"
Dawilmar Franco DBA Laboratorio ClÌ_nico RodrÌ_guez ,Laboratorio ,ClÌ_nico,Hatillo,787-898-4020,"71 PH HernÌÁndez 
Hatillo, PR 00659",Puerto Rico,"Hatillo, Puerto Rico
(18.483049984000445, -66.82282999899962)"
Aguadilla X Ray Office & Body Imaging Center Psc,RadiÌ_logo,ProducciÌ_n e InterpretaciÌ_n,Aguadilla,787-891-6165,"Aguadilla Medical Building 
Ofic 302 Progreso 2
Aguadilla, PR 00605",Puerto Rico,"Aguadilla, Puerto Rico
(18.434599981000474, -67.15518999199963)"
Laboratorio Vascular ClÌ_nico Inc. ,Laboratorio ,ClÌ_nico,Hato Rey,787-781-2901,"Ave. Ponce de LeÌ_n 716
Hato Rey, PR 00718",Puerto Rico,"Hato Rey, Puerto Rico
"
Maria ValentÌ_n Mari ,Internista,,Ponce,787-844-9101,"Torre Medical San Lucas 
Ave. Tito Castro Suite 609
Ponce, PR 00731",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Amalio JimÌ©nez Feliciano ,QuiroprÌÁctico,,Utuado,787-403-5821,"Calle JosÌ© Olmo 326
Arecibo, PR 00612",Puerto Rico,"Utuado, Puerto Rico
(18.266249998000433, -66.70459997699965)"
Francis Torres Aguiar ,Pediatra,,Ponce,787-841-3057,"Jardines Fagot 
T- Calle 15
Ponce, PR 00731",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Amogh Sahai HernÌÁndez ,Fisiatra ,,MayagÌ_ez,787-805-2255,"Terapia FÌ_sica con Calidad 
Calle Peral 29 Norte 
Mayaguez, PR 00681",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Eloi Physical Therapy PSC,Terapia,FÌ_sica,Adjuntas,787-466-9466,"Calle Santa Ana 9
Adjuntas, PR 00601",Puerto Rico,"Adjuntas, Puerto Rico
(18.163220012000465, -66.72308999699965)"
JosÌ© L. MuÌ±oz Benedicto,Internista,,Guaynabo,787-620-5050,"Centro Internacional de Mercadeo 
Ste 304 
Guaynabo, PR 00968",Puerto Rico,"Guaynabo, Puerto Rico
(18.359729975000448, -66.11052000299964)"
Pedro Lugo Lugo DBA Lugo Ambulance Service,Ambulancia,,AÌ±asco,787-826-2525,"Calle Iglesia 101-A
Bo. Espino 
AÌ±asco, PR 00610",Puerto Rico,"A&ntilde;asco, Puerto Rico
"
JosÌ© E. Rivera RodrÌ_guez,RadiÌ_logo,,Aguadilla,787-891-6565,"Calle Progreso 302
Aguadilla, PR 00605",Puerto Rico,"Aguadilla, Puerto Rico
(18.434599981000474, -67.15518999199963)"
Sonia Santiago Mateo ,Internista,Evaluador,Ponce,787-843-7808,"Urb. San Antonio
1935 Ave. Las AmÌ©ricas 
Ponce, PR 00731",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
IvÌÁn R. Acosta Orraca ,Internista,,San German,787-892-5736,"Sector El Bosque 
Calle Tetuan 4
San GermÌÁn, PR 00683",Puerto Rico,"San German, Puerto Rico
(18.08132000100045, -67.04160998799966)"
Cross Sectional Imaging,RadiÌ_logo,ProducciÌ_n e InterpretaciÌ_n,San German,787-892-5030,"43 Calle Dr. Veve
Edif. Grovas Rodriguez 
San GermÌÁn, PR 00683-4100",Puerto Rico,"San German, Puerto Rico
(18.08132000100045, -67.04160998799966)"
Municipio AutÌ_nomo de Ponce ,Ambulancia,,Ponce,787-284-4141,"Oficina Manejo de Emergencia
Boulevard Miguel Pou 
Ponce, PR 00730",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Atenas Community Health Center ,Laboratorio ,ClÌ_nico,ManatÌ_,787-892-2292,"Carr 2 Km. 50.0
Manati, PR 00674",Puerto Rico,"Manat&iacute;, Puerto Rico
"
Atenas Community Health Center ,Ambulancia,,ManatÌ_,787-892-2292,"Carr 2 Km. 50.0
Manati, PR 00674",Puerto Rico,"Manat&iacute;, Puerto Rico
"
"Servicios FisiÌÁtrico Raber, CSP",Terapia ,FÌ_sica y Fisiatra,Santa Isabel,787-845-3000,"Plaza Oasis Edif D-6 
Carr 153
Santa Isabel, PR 00757",Puerto Rico,"Santa Isabel, Puerto Rico
(17.969170003000443, -66.40393999299965)"
Ernesto Soltero Oliveras ,CirugÌ_a TorÌÁcica ,,Ponce,787-848-1010,"Hospital Damas 2do Piso 
2213 Ponce by Pass 
Ponce, PR 00717",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
JosÌ© A. RomÌÁn Carlo,Generalista ,,MayagÌ_ez,787-805-4895,"Edif. Medico IV #55 Ofic. 210
Dr. Basora Norte
MayagÌ_ez PR  00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Diana LÌ_pez Soba DBA Isla Ambulance Services ,Ambulancia,,MayagÌ_ez,787-960-4760,"Repartro Feliciana
13 Apt. 1-A
MayagÌ_ez PR  00681",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Manuel Matos Medina ,AnestesiÌ_logo,,Arecibo,787-878-6601,"Metropolitano de Arecibo
Urb. Victor Rojas Carr. #129
Arecibo PR  00612",Puerto Rico,"Arecibo, Puerto Rico
(18.47238998600045, -66.71972999299965)"
Manuel Feliciano Morales ,Generalista ,,Carolina,787-757-8585,"Carolina Shopping Court
Suite 206 Urb. Villa Carolina
Carolina PR  00985",Puerto Rico,"Carolina, Puerto Rico
(18.442839984000443, -66.02399001499964)"
ClÌ_nica Terapia FÌ_sica Nogal ,Terapia  ,FÌ_sica,Toa Baja,787-269-3725,"Ave. Nogal IL-25
Urb. Royal Palm 
BayamÌ_n PR  00956",Puerto Rico,"Toa Baja, Puerto Rico
(18.442469988000425, -66.25353000999962)"
Maria M. Pietri RodrÌ_guez ,Fisiatra ,,San Lorenzo,787-736-1090,"San Lorenzo Shopping Center
Local 4-B 
San Lorenzo PR  00754",Puerto Rico,"San Lorenzo, Puerto Rico
(18.190280024000458, -65.96230000999964)"
Marcos A. Ayala Rivera ,Generalista ,,MayagÌ_ez,787-833-5235,"167 Este, Ramos Antonini
MayagÌ_ez PR  00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
JosÌ© M. Canabal EnrÌ_quez ,Generalista ,Acupuntor,Yauco,787-645-3658,"Centro Comercial Barinas
Carr. #335 Km 1.5
Yauco PR  00698",Puerto Rico,"Yauco, Puerto Rico
(18.033410023000442, -66.84844998399961)"
Maydel MontaÌ±ez DBA Physical Therapy Serv.,Salud en el Hogar,Terapia FÌ_sica,Gurabo,787-737-0781,"Plaza Marina 2do Nivel Ofic.23
Gurabo PR  00778",Puerto Rico,"Gurabo, Puerto Rico
(18.254759995000427, -65.97214002299967)"
DroguerÌ_a Central Inc..,Equipo MÌ©dico ,,Toa Baja,787-251-2323,"Pepsi Indistrial Park PR 2
Km 19.5 Bo. Candelaria
Toa Baja PR  00949",Puerto Rico,"Toa Baja, Puerto Rico
(18.442469988000425, -66.25353000999962)"
Sergio Collazo Santiago DBA Ser Ladys Ambulance,Ambulancia,,Ponce,787-635-3348,"Urb. Villa Del Carmen 4442
Ave. Constancia
Ponce PR  00716",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Javier MuÌ±izMorales DBA Star Line,Ambulancia,,Ponce,787-412-1731,"Bda. Clausells Calle 3 NÌ_m. 2
Ponce PR  00731",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Rad One PSC,RadiÌ_logo,,Caguas,787-286-7572,"Hosp. Univ. RamÌ_n Ruiz Arnau
Ave. Laurel #100 Santa Juanita
BayamÌ_n PR  00956",Puerto Rico,"Caguas, Puerto Rico
(18.226539990000447, -66.03746001999963)"
Terapia FÌ_sica Movimiento es Vida CSP,Terapia ,FÌ_sica,Moca,787-877-1213,"Edif. San Pablo Carr. #110
Km 12.8 Bo. Pueblo
Moca PR  00676",Puerto Rico,"Moca, Puerto Rico
(18.394929981000473, -67.11367998199967)"
Puerto Rico Medical Emergency Group ,EmergenciÌ_logo,,Ponce,787-844-2080,"Sala de Emerg. Hosp. San Lucas II Ave. Tito Castro #917
Ponce PR  00731",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Municipio de Yauco ,Ambulancia,,Yauco,787-992-4031,"Carr. #127 Predios Antigua Guardia Nacional
Yauco PR  00698",Puerto Rico,"Yauco, Puerto Rico
(18.033410023000442, -66.84844998399961)"
Ana Beauchamp Irizarry ,Internista,,Ponce,787-843-7808,"Urb. San Antonio
1935 Ave. Las AmÌ©ricas 
Ponce, PR 00731",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Juan Grillo Alverio ,Dentista,,Ponce,787-848-8886,"Sup. Pueblo Shop. Center
Suite 104 Ponce By Pass
Ponce PR  00731",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Centro de Terapia FÌ_sica y RehabilitaciÌ_n San Lorenzo Inc.,Salud en el Hogar,Terapia FÌ_sica,San Lorenzo,787-736-1090,"San Lorenzo Shopping Center
Local 4-B 
San Lorenzo PR  00754",Puerto Rico,"San Lorenzo, Puerto Rico
(18.190280024000458, -65.96230000999964)"
Centro NeumolÌ_gico del Oeste ,NeumÌ_logo,,MayagÌ_ez,787-832-0000,"CPR Professional Building
#55 Calle De Diego Suite 401
MayagÌ_ez PR  00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Emergencias MÌ©dicas Municipales ,Ambulancia,,Barceloneta,787-846-3210,"Calle Reveredo, Villamil Altos
Barceloneta PR  00617",Puerto Rico,"Barceloneta, Puerto Rico
(18.454409979000445, -66.53820997999964)"
Juanita LÌ_pez HNC Centro de Terapia FÌ_sica RamelÌ©n,Salud en el Hogar,Terapia FÌ_sica,Aguas Buenas,787-732-0071,"Carr. #156 Km 49.5 
Bo. Sumidero
Aguas Buenas PR  00703",Puerto Rico,"Aguas Buenas, Puerto Rico
(18.25705999000047, -66.10599000899964)"
Jorge Torres Nazario ,RadiÌ_logo,InterpretaciÌ_n,Ponce,787-844-8510,"Cond. San Vicente #8169
Calle Concordia Suite #1
Ponce PR  00733",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Municipio de Cayey ,Ambulancia,,Cayey,787-738-3011,"Calle Luis Barrera #174
Cayey PR  00736",Puerto Rico,"Cayey, Puerto Rico
(18.114650009000457, -66.16996001699965)"
"Lares Medical Center, Inc. ",RadiÌ_logo,ProducciÌ_n e InterpretaciÌ_n,Lares,787-897-1444,"Carr. #111 Km 2.7
Ave. Los Patriotas
Lares PR  00669",Puerto Rico,"Lares, Puerto Rico
(18.29824998400045, -66.87340999299965)"
Jorge Torres Olmeda ,Generalista ,,Cabo Rojo,787-851-2250,"Lighthouse Plaza 
Carr 102 Km1808
Cabo Rojo, PR 00623",Puerto Rico,"Cabo Rojo, Puerto Rico
(18.088200019000453, -67.14688998899965)"
Ramos Medical Ambulance Inc. ,Ambulancia,,Arecibo,787-210-2128,"Ave. Miramar Carr. #2
Arecibo PR  00614",Puerto Rico,"Arecibo, Puerto Rico
(18.47238998600045, -66.71972999299965)"
William ColÌ_n DBA ColÌ_n Ambulance ,Ambulancia,,Aguadilla,787-646-8541,"Calle Quintero #1340
Aguadilla PR  00603",Puerto Rico,"Aguadilla, Puerto Rico
(18.434599981000474, -67.15518999199963)"
DC Anestesia ,AnestesiÌ_logo,,ManatÌ_,787-621-0590,"Dpto. AnestesiologÌ_a Hosp. Dr. Center, Piso 1 Carr. #2
ManatÌ_ PR  00674",Puerto Rico,"Manat&iacute;, Puerto Rico
"
Southern Pathology Services Inc. ,PatologÌ_a,,Ponce,787-841-8645,"Parque Industrial
Sabaneta #234
Ponce PR  00732",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Sol Surgery Corp. ,Cirujano ,General,Ponce,787-848-6996,"Torre San CristÌ_bal
Suite 304
Coto Laurel PR  00780",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
RaÌ_l Medina DBA Medina Medical Transport ,Ambulancia,,Luquillo,787-367-2375,"Calle FernÌÁndez GarcÌ_a #26
Edif. Luquillo Plaza Suite 8
Luquillo PR  00738",Puerto Rico,"Luquillo, Puerto Rico
(18.37668998200047, -65.71652000999967)"
Centro Salud Familiar dr. Julio Palmieri Ferri Inc.,Generalista            ,,Arroyo,787-839-4150,"Morse Esquina Valentina
Arroyo PR  00714",Puerto Rico,"Arroyo, Puerto Rico
(17.96216001400046, -66.06388002299963)"
Municipio de CataÌ±o,Ambulancia,,CataÌ±o,787-788-0265,"Carr. #5 Km 2.2
CataÌ±o PR  00962",Puerto Rico,"Cata&ntilde;o, Puerto Rico
"
Municipio de Cidra ,Ambulancia,,Cidra,787-739-2323,"Complejo Dep. Salud
Aguas Buenas
Cidra PR  00739",Puerto Rico,"Cidra, Puerto Rico
(18.175390008000477, -66.16058001299962)"
Edisson Osorio Cuevas ,Generalista ,,AÌ±asco,787-826-2858,"Calle La Rosa #15
AÌ±asco PR  00610",Puerto Rico,"A&ntilde;asco, Puerto Rico
"
Carmen M. Pino DBA Laboratorio ClÌ_nico Pro-Lab ,Laboratorio ,ClÌ_nico,MayagÌ_ez,787-265-6966,"Edif. MÌ©dico Profesional
1065 Ave. Corazones Ofic. 207
MayagÌ_ez PR  00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Alexis SepÌ_lveda DBA SepÌ_lveda Ambulance ,Ambulancia,,Utuado,787-372-9636,"Urb. Cabrera B-47
Utuado PR  00641",Puerto Rico,"Utuado, Puerto Rico
(18.266249998000433, -66.70459997699965)"
Universal Care Ambulance ,Ambulancia,,San Juan,787-707-8037,"Puerto Nuevo #1303
Calle Delhi
San Juan PR  00920",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
